,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
25,-3.2733581629812103,354.5983876751185,-17.513194962349953,292.8741513944484,-25.81424540824429,124.84189842559488,BD+54 1475,bright star,2.44,59418.428385,False,False,True
26,-3.542508822123351,357.2677383192714,-16.18409531578525,293.03669830191393,-25.773479647571214,124.90723821356741,BD+54 1475,bright star,2.44,59418.440885,False,False,True
27,-3.6346641465067018,359.94959764977125,-15.77428446289912,293.20385874517046,-25.731517995444538,124.97437457901205,BD+54 1475,bright star,2.44,59418.453385,False,False,True
28,-3.549200905480789,2.631689114970738,-16.153618838483027,293.37579775944704,-25.688510138232722,125.0435145074955,BD+54 1475,bright star,2.44,59418.465885,False,False,True
0,14.266482400969958,230.34867776026414,4.057912850693197,289.3877771541074,-26.179786003291344,94.0458809268844,BD-21 3487,bright star,3.0,59418.115885,True,False,False
1,11.283418103521573,233.3242833183296,5.110845613299354,289.54369973498956,-26.190811846631288,94.16463085613162,BD-21 3487,bright star,3.0,59418.128385,True,False,False
2,8.185724105252952,236.14410547135768,7.023344142277276,289.69549884083875,-26.200159582929803,94.28078332735723,BD-21 3487,bright star,3.0,59418.140885,True,False,False
3,4.986575295043864,238.8235673813636,11.504524078644915,289.84345120087795,-26.207706555713713,94.39462767414842,BD-21 3487,bright star,3.0,59418.153385,True,False,False
4,1.6977032548574877,241.37797423060445,33.75393442716007,289.9878579606298,-26.213338974133425,94.50646792857775,BD-21 3487,bright star,3.0,59418.165885,True,False,False
5,-1.6704630389587127,243.82232845639518,-34.304199531672154,290.12904291859576,-26.216952801045647,94.61662092510775,BD-21 3487,bright star,3.0,59418.178385,False,False,True
6,-5.108650792736683,246.17126738684584,-11.230316815081753,290.26735057432165,-26.218454579237015,94.72541429885332,BD-21 3487,bright star,3.0,59418.190885,False,False,True
7,-8.608598893321187,248.4390979517829,-6.6807526627185485,290.4031439815023,-26.217762185830694,94.83318437771364,BD-21 3487,bright star,3.0,59418.203385,False,False,True
8,-12.162919466914305,250.63991191635313,-4.746260392078365,290.53680243594766,-26.2148055041675,94.94027399592652,BD-21 3487,bright star,3.0,59418.215885,False,False,True
9,-15.764966911651934,252.78777389001067,-3.680640334597618,290.66871899811724,-26.209527004923924,95.04703023221768,BD-21 3487,bright star,3.0,59418.228385,False,False,True
10,-19.408713948290128,254.89698362928615,-3.0092874431981973,290.7992978966605,-26.201882226642102,95.15380211200585,BD-21 3487,bright star,3.0,59418.240885,False,False,True
11,-23.088632679738858,256.9824244467693,-2.5500145906519185,290.92895181586744,-26.191840150108884,95.26093827715539,BD-21 3487,bright star,3.0,59418.253385,False,False,True
12,-26.79957709832979,259.06002225488845,-2.217929530622984,291.058099109573,-26.179383459938872,95.36878465839271,BD-21 3487,bright star,3.0,59418.265885,False,False,True
13,-30.5366618591546,261.14735732921724,-1.9681568370392266,291.18716094453686,-26.16450869072627,95.47768215146343,BD-21 3487,bright star,3.0,59418.278385,False,False,True
14,-34.295129575748746,263.2644967794376,-1.7747620249501754,291.3165584313246,-26.14722625392533,95.58796434350181,BD-21 3487,bright star,3.0,59418.290885,False,False,True
15,-38.07019512161279,265.4351566329773,-1.6217274282594922,291.4467097472617,-26.127560346213826,95.69995529028812,BD-21 3487,bright star,3.0,59418.303385,False,False,True
16,-41.85684897851912,267.688369606913,-1.4986396741876966,291.57802729714376,-26.10554873937828,95.81396737893705,BD-21 3487,bright star,3.0,59418.315885,False,False,True
17,-45.6495903471626,270.0609489736558,-1.398448877807953,291.7109149182046,-26.081242456423507,95.93029927750456,BD-21 3487,bright star,3.0,59418.328385,False,False,True
18,-49.44204050744682,272.6012401504202,-1.316224857643623,291.84576518116444,-26.054705336472065,96.04923400948768,BD-21 3487,bright star,3.0,59418.340885,False,False,True
19,-53.226348613040194,275.3750165503394,-1.2484289157510706,291.9829568013039,-26.026013495593244,96.17103716027147,BD-21 3487,bright star,3.0,59418.353385,False,False,True
20,-56.992227646322874,278.47505839201676,-1.19246835334542,292.12285217131006,-25.995254692022673,96.29595521992879,BD-21 3487,bright star,3.0,59418.365885,False,False,True
21,-60.725306426171606,282.0372599128541,-1.1464138584057697,292.26579506083243,-25.962527602498053,96.42421409438487,BD-21 3487,bright star,3.0,59418.378385,False,False,True
22,-64.40416041053793,286.2686394372923,-1.1088147569685403,292.41210848308987,-25.927941021391145,96.55601778014268,BD-21 3487,bright star,3.0,59418.390885,False,False,True
23,-67.99466974799762,291.4973639327969,-1.0785752874743744,292.562092756662,-25.891612991560635,96.69154722033922,BD-21 3487,bright star,3.0,59418.403385,False,False,True
24,-71.43874790991386,298.262238723117,-1.0548702372031584,292.7160237575994,-25.85366988011746,96.83095933388003,BD-21 3487,bright star,3.0,59418.415885,False,False,True
25,-74.63110652413677,307.45979988765674,-1.0370868096985952,292.8741513944484,-25.81424540824429,96.97438623925026,BD-21 3487,bright star,3.0,59418.428385,False,False,True
26,-77.37325859307079,320.4884729273902,-1.024784576263236,293.03669830191393,-25.773479647571214,97.12193466569484,BD-21 3487,bright star,3.0,59418.440885,False,False,True
27,-79.30789276036052,338.85726216632486,-1.017668388474441,293.20385874517046,-25.731517995444538,97.2736855408898,BD-21 3487,bright star,3.0,59418.453385,False,False,True
28,-79.95389430497346,1.8577795825213483,-1.01557103969708,293.37579775944704,-25.688510138232722,97.42969377254401,BD-21 3487,bright star,3.0,59418.465885,False,False,True
0,47.03491492783089,320.4252039386277,1.3665511633485483,289.3877771541074,-26.179786003291344,120.06324052038065,BD+57 1363,bright star,3.31,59418.115885,True,False,True
1,44.602673755510374,319.87100212165166,1.4241235255702556,289.54369973498956,-26.190811846631288,120.15678296750832,BD+57 1363,bright star,3.31,59418.128385,True,False,True
2,42.149129737459674,319.57905322054035,1.4901739450443652,289.69549884083875,-26.200159582929803,120.24675541630594,BD+57 1363,bright star,3.31,59418.140885,True,False,True
3,39.686838399087904,319.5197579559743,1.5659473857618245,289.84345120087795,-26.207706555713713,120.3332102202751,BD+57 1363,bright star,3.31,59418.153385,True,False,False
4,37.22689590926084,319.6685435847508,1.6529664481113737,289.9878579606298,-26.213338974133425,120.41622014321898,BD+57 1363,bright star,3.31,59418.165885,True,False,False
5,34.77928826092022,320.0051037359412,1.753104369393524,290.12904291859576,-26.216952801045647,120.49587808821072,BD+57 1363,bright star,3.31,59418.178385,True,False,False
6,32.3531684031283,320.5127027700694,1.8686821322875526,290.26735057432165,-26.218454579237015,120.5722966751563,BD+57 1363,bright star,3.31,59418.190885,True,False,False
7,29.957075357625314,321.1775641288493,2.002599157416305,290.4031439815023,-26.217762185830694,120.64560765621093,BD+57 1363,bright star,3.31,59418.203385,True,False,False
8,27.599106884241404,321.9883429944308,2.158511495751198,290.53680243594766,-26.2148055041675,120.71596117642127,BD+57 1363,bright star,3.31,59418.215885,True,False,False
9,25.28705486506156,322.93567492760366,2.3410783081089086,290.66871899811724,-26.209527004923924,120.78352487388605,BD+57 1363,bright star,3.31,59418.228385,True,False,False
10,23.02851031634353,324.0117890844751,2.556308299533143,290.7992978966605,-26.201882226642102,120.848482836281,BD+57 1363,bright star,3.31,59418.240885,True,False,False
11,20.830943090232008,325.2101743447543,2.8120553938999433,290.92895181586744,-26.191840150108884,120.91103441153795,BD+57 1363,bright star,3.31,59418.253385,True,False,False
12,18.70175988484188,326.5252877135686,3.1187421975684253,291.058099109573,-26.179383459938872,120.971392890583,BD+57 1363,bright star,3.31,59418.265885,True,False,False
13,16.64834294143428,327.9522960102397,3.4904398451020278,291.18716094453686,-26.16450869072627,121.0297840610242,BD+57 1363,bright star,3.31,59418.278385,True,False,False
14,14.678070993257945,329.4868436398908,3.9465211596349556,291.3165584313246,-26.14722625392533,121.08644466125038,BD+57 1363,bright star,3.31,59418.290885,True,False,False
